Num,Name,Rest Num,Time (Normal),Time (Min),Day,Day (Encoding),Orders,Wait
74,Izakaya Underbelly,11,14:16,856,Wednesday,2,3,24
75,Panda Express,1,12:16,736,Saturday,5,3,4
76,Bistro,13,15:35,935,Tuesday,1,3,31
77,Taco Villa,4,17:09,1029,Tuesday,1,2,11
78,Panda Express,1,13:40,820,Friday,4,2,4
79,Blue Pepper,10,19:40,1180,Sunday,6,2,25
80,Caroline's,5,13:28,808,Friday,4,3,18
81,Santorini,7,19:21,1161,Wednesday,2,3,17
82,Roots,12,17:17,1037,Wednesday,2,2,25
83,Caroline's,5,13:41,821,Friday,4,1,17
84,Panda Express,1,15:13,913,Monday,0,1,3
85,Lemongrass,6,18:01,1081,Tuesday,1,2,32
86,Curry Up Now,2,13:13,793,Thursday,3,6,16
87,Bistro,13,18:27,1107,Tuesday,1,4,33
88,Blue Pepper,10,17:21,1041,Wednesday,2,2,25
89,Roots,12,17:21,1041,Thursday,3,3,28
90,Sixty-Four North,9,11:45,705,Friday,4,5,19
91,Curry Up Now,2,16:49,1009,Tuesday,1,3,9
92,Sixty-Four North,9,13:15,795,Sunday,6,4,22
93,Sixty-Four North,9,14:31,871,Friday,4,2,18
94,Caroline's,5,10:59,659,Thursday,3,2,14
95,Caroline's,5,11:01,661,Wednesday,2,2,24
96,Caroline's,5,8:15,495,Wednesday,2,2,17
97,Roots,12,9:23,563,Wednesday,2,1,20
98,Seed + Sprout,8,12:29,749,Wednesday,2,4,34
99,Caroline's,5,9:08,548,Monday,0,0,22
100,Caroline's,5,14:05,845,Sunday,6,4,20
101,Blue Pepper,10,10:42,642,Thursday,3,4,32
102,Roots,12,13:12,792,Friday,4,3,30
103,Bistro,13,17:44,1064,Wednesday,2,2,26
104,Sixty-Four North,9,14:23,863,Sunday,6,2,13
105,Burger King,0,23:31,1411,Wednesday,2,3,10
106,Panda Express,1,9:45,585,Wednesday,2,2,3
107,Santorini,7,8:14,494,Monday,0,1,17
108,Sixty-Four North,9,12:46,766,Wednesday,2,3,16
109,Caroline's,5,12:16,736,Sunday,6,4,22
110,Lemongrass,6,14:39,879,Tuesday,1,2,23
111,Sixty-Four North,9,11:08,668,Thursday,3,1,18
112,Roots,12,9:38,578,Saturday,5,1,16
113,Burger King,0,9:27,567,Tuesday,1,0,4
114,Canyon Vista,14,11:22,682,Monday,0,2,16
115,Caroline's,5,11:33,693,Wednesday,2,5,25
116,Panda Express,1,16:04,964,Sunday,6,4,4
117,Bistro,13,13:07,787,Friday,4,6,40
118,Croutons,3,14:17,857,Monday,0,2,20
119,Lemongrass,6,14:56,896,Saturday,5,2,26
120,Burger King,0,9:57,597,Saturday,5,1,7
121,Roots,12,16:37,997,Tuesday,1,1,20
122,Taco Villa,4,10:05,605,Sunday,6,2,11
123,Taco Villa,4,10:08,608,Saturday,5,2,13
124,Bistro,13,11:40,700,Wednesday,2,6,35
125,Santorini,7,9:50,590,Thursday,3,1,10
126,Croutons,3,13:49,829,Sunday,6,0,7
127,Panda Express,1,11:33,693,Monday,0,4,4
128,Bistro,13,18:47,1127,Sunday,6,1,20
129,Seed + Sprout,8,9:13,553,Wednesday,2,2,19
130,Lemongrass,6,10:28,628,Monday,0,1,17
131,Caroline's,5,8:47,527,Wednesday,2,2,21
132,Sixty-Four North,9,12:50,770,Friday,4,3,23
133,Seed + Sprout,8,9:12,552,Monday,0,2,22
134,Blue Pepper,10,16:54,1014,Sunday,6,1,11
135,Blue Pepper,10,15:17,917,Saturday,5,0,11
136,Canyon Vista,14,9:45,585,Wednesday,2,3,21
137,Seed + Sprout,8,11:31,691,Sunday,6,5,30
138,Panda Express,1,11:36,696,Wednesday,2,4,7
139,Roots,12,16:52,1012,Thursday,3,4,29
140,Taco Villa,4,19:18,1158,Monday,0,2,7
141,Burger King,0,18:28,1108,Thursday,3,2,6
142,Santorini,7,7:16,436,Saturday,5,2,14
143,Lemongrass,6,10:36,636,Tuesday,1,2,34
144,Bistro,13,11:02,662,Wednesday,2,2,29
145,Blue Pepper,10,16:48,1008,Saturday,5,3,26
146,Taco Villa,4,15:36,936,Wednesday,2,1,4
147,Croutons,3,14:31,871,Thursday,3,2,18
148,Blue Pepper,10,15:08,908,Friday,4,2,17
149,Croutons,3,12:58,778,Thursday,3,4,23
150,Croutons,3,13:42,822,Sunday,6,3,18
151,Izakaya Underbelly,11,16:02,962,Friday,4,2,17
152,Lemongrass,6,13:53,833,Friday,4,1,27
153,Caroline's,5,14:09,849,Wednesday,2,2,16
154,Curry Up Now,2,12:41,761,Sunday,6,3,8
155,Croutons,3,11:38,698,Sunday,6,4,20
156,Taco Villa,4,8:04,484,Saturday,5,0,4
157,Taco Villa,4,17:20,1040,Monday,0,2,13
158,Caroline's,5,9:15,555,Thursday,3,0,5
159,Taco Villa,4,8:06,486,Monday,0,2,15
160,Seed + Sprout,8,17:17,1037,Tuesday,1,2,22
161,Roots,12,15:49,949,Monday,0,1,22
162,Sixty-Four North,9,12:46,766,Sunday,6,3,18
163,Caroline's,5,14:22,862,Sunday,6,2,20
164,Taco Villa,4,17:07,1027,Wednesday,2,3,20
165,Blue Pepper,10,14:33,873,Sunday,6,2,19
166,Roots,12,14:41,881,Saturday,5,4,24
167,Burger King,0,14:19,859,Friday,4,3,7
168,Croutons,3,11:10,670,Tuesday,1,1,14
169,Santorini,7,15:38,938,Monday,0,2,12
170,Blue Pepper,10,19:08,1148,Saturday,5,4,30
171,Santorini,7,14:49,889,Friday,4,1,12
172,Izakaya Underbelly,11,12:57,777,Wednesday,2,2,23
173,Roots,12,11:59,719,Tuesday,1,3,29
174,Canyon Vista,14,20:32,1232,Thursday,3,2,21
175,Roots,12,16:02,962,Monday,0,3,29
176,Santorini,7,13:45,825,Tuesday,1,1,15
177,Canyon Vista,14,8:35,515,Tuesday,1,2,18
178,Blue Pepper,10,17:37,1057,Tuesday,1,3,31
179,Santorini,7,9:52,592,Sunday,6,2,16
180,Blue Pepper,10,18:38,1118,Wednesday,2,3,29
181,Bistro,13,15:43,943,Tuesday,1,1,27
182,Seed + Sprout,8,16:36,996,Friday,4,2,26
183,Izakaya Underbelly,11,17:42,1062,Tuesday,1,1,19
184,Croutons,3,12:57,777,Friday,4,3,16
185,Taco Villa,4,10:13,613,Thursday,3,2,10
186,Izakaya Underbelly,11,17:44,1064,Sunday,6,2,16
187,Lemongrass,6,17:59,1079,Saturday,5,2,21
188,Sixty-Four North,9,12:07,727,Saturday,5,4,19
189,Izakaya Underbelly,11,13:33,813,Sunday,6,2,15
190,Santorini,7,17:42,1062,Saturday,5,0,4
191,Sixty-Four North,9,11:52,712,Thursday,3,2,15
192,Canyon Vista,14,18:02,1082,Sunday,6,2,16
193,Panda Express,1,16:57,1017,Tuesday,1,4,6
194,Blue Pepper,10,12:35,755,Tuesday,1,3,26
195,Canyon Vista,14,19:10,1150,Saturday,5,3,15
196,Santorini,7,19:27,1167,Thursday,3,3,19
197,Blue Pepper,10,15:02,902,Thursday,3,3,25
198,Lemongrass,6,17:52,1072,Wednesday,2,2,24
199,Bistro,13,12:26,746,Friday,4,4,28
200,Roots,12,14:13,853,Wednesday,2,3,27
201,Sixty-Four North,9,14:47,887,Tuesday,1,2,16
202,Sixty-Four North,9,11:02,662,Friday,4,1,19
203,Panda Express,1,16:46,1006,Monday,0,1,2
204,Seed + Sprout,8,15:28,928,Sunday,6,3,22
205,Caroline's,5,9:48,588,Friday,4,0,16
206,Blue Pepper,10,10:35,635,Tuesday,1,2,25
207,Roots,12,19:43,1183,Wednesday,2,3,24
208,Bistro,13,17:29,1049,Tuesday,1,2,25
209,Santorini,7,7:52,472,Tuesday,1,3,17
210,Panda Express,1,14:39,879,Thursday,3,1,2
211,Santorini,7,15:17,917,Saturday,5,1,10
212,Blue Pepper,10,15:15,915,Friday,4,1,17
213,Seed + Sprout,8,16:53,1013,Monday,0,4,36
214,Caroline's,5,10:39,639,Wednesday,2,2,20
215,Croutons,3,14:48,888,Thursday,3,1,16
216,Curry Up Now,2,18:45,1125,Monday,0,2,9
217,Izakaya Underbelly,11,15:24,924,Saturday,5,2,17
218,Caroline's,5,14:56,896,Saturday,5,3,9
219,Roots,12,9:40,580,Tuesday,1,0,19
220,Bistro,13,15:32,932,Saturday,5,2,20
221,Taco Villa,4,16:08,968,Wednesday,2,4,18
222,Croutons,3,10:35,635,Thursday,3,2,20
223,Caroline's,5,8:50,530,Sunday,6,1,11
224,Sixty-Four North,9,12:51,771,Wednesday,2,6,26
225,Santorini,7,13:58,838,Sunday,6,0,6
226,Bistro,13,15:48,948,Tuesday,1,3,31
227,Blue Pepper,10,17:01,1021,Wednesday,2,3,30
228,Burger King,0,23:33,1413,Monday,0,1,7
229,Croutons,3,14:19,859,Monday,0,2,23
230,Roots,12,9:14,554,Wednesday,2,3,26
231,Canyon Vista,14,8:26,506,Friday,4,2,23
232,Croutons,3,14:18,858,Sunday,6,2,18
233,Burger King,0,13:35,815,Monday,0,1,10
234,Taco Villa,4,15:57,957,Saturday,5,3,13
235,Taco Villa,4,15:44,944,Sunday,6,1,12
236,Canyon Vista,14,10:52,652,Saturday,5,0,8
237,Curry Up Now,2,14:01,841,Sunday,6,1,6
238,Curry Up Now,2,12:42,762,Monday,0,5,13
239,Roots,12,17:47,1067,Sunday,6,2,20
240,Sixty-Four North,9,13:07,787,Friday,4,4,23
241,Blue Pepper,10,15:46,946,Sunday,6,1,7
242,Seed + Sprout,8,14:21,861,Monday,0,2,25
243,Izakaya Underbelly,11,19:36,1176,Thursday,3,2,21
244,Roots,12,18:12,1092,Sunday,6,2,20
245,Sixty-Four North,9,14:36,876,Wednesday,2,2,18
246,Lemongrass,6,12:28,748,Sunday,6,3,26
247,Blue Pepper,10,16:56,1016,Saturday,5,1,12
248,Taco Villa,4,11:16,676,Thursday,3,1,9
249,Caroline's,5,11:17,677,Wednesday,2,1,11
250,Roots,12,10:05,605,Monday,0,2,24
251,Bistro,13,17:51,1071,Sunday,6,2,20
252,Taco Villa,4,8:45,525,Saturday,5,0,1
253,Roots,12,18:12,1092,Wednesday,2,1,24
254,Bistro,13,13:02,782,Saturday,5,5,31
255,Seed + Sprout,8,8:33,513,Saturday,5,2,18
256,Bistro,13,17:31,1051,Monday,0,0,31
257,Lemongrass,6,16:39,999,Tuesday,1,2,28
258,Curry Up Now,2,14:00,840,Tuesday,1,3,11
259,Sixty-Four North,9,12:33,753,Sunday,6,3,16
260,Lemongrass,6,12:30,750,Wednesday,2,4,38
261,Curry Up Now,2,11:52,712,Friday,4,3,10
262,Bistro,13,17:57,1077,Wednesday,2,2,23
263,Sixty-Four North,9,11:59,719,Friday,4,4,26
264,Bistro,13,13:40,820,Saturday,5,3,24
265,Taco Villa,4,9:00,540,Tuesday,1,1,8
266,Caroline's,5,12:42,762,Wednesday,2,4,23
267,Caroline's,5,12:26,746,Saturday,5,2,19
268,Curry Up Now,2,11:40,700,Monday,0,4,12
269,Canyon Vista,14,11:07,667,Monday,0,1,11
270,Burger King,0,7:57,477,Thursday,3,2,9
271,Sixty-Four North,9,12:20,740,Sunday,6,4,22
272,Santorini,7,13:23,803,Wednesday,2,4,23
273,Burger King,0,20:05,1205,Wednesday,2,2,10
274,Seed + Sprout,8,11:43,703,Wednesday,2,3,26
275,Lemongrass,6,10:40,640,Sunday,6,1,25
276,Burger King,0,11:37,697,Friday,4,5,16
277,Canyon Vista,14,19:37,1177,Friday,4,2,20
278,Sixty-Four North,9,13:19,799,Thursday,3,4,20
279,Panda Express,1,15:28,928,Thursday,3,2,5
280,Roots,12,12:58,778,Thursday,3,3,29
281,Seed + Sprout,8,12:37,757,Monday,0,3,21
282,Roots,12,10:41,641,Sunday,6,1,18
283,Lemongrass,6,19:03,1143,Saturday,5,2,30
284,Lemongrass,6,9:37,577,Thursday,3,2,24
285,Blue Pepper,10,17:33,1053,Friday,4,1,18
286,Panda Express,1,14:29,869,Wednesday,2,1,4
287,Panda Express,1,16:52,1012,Saturday,5,2,3
288,Santorini,7,9:57,597,Tuesday,1,1,12
289,Bistro,13,13:18,798,Sunday,6,4,30
290,Bistro,13,18:47,1127,Tuesday,1,3,28
291,Izakaya Underbelly,11,12:03,723,Wednesday,2,4,27
292,Santorini,7,10:24,624,Thursday,3,1,13
293,Curry Up Now,2,16:49,1009,Saturday,5,1,5
294,Sixty-Four North,9,12:59,779,Saturday,5,4,18
295,Lemongrass,6,12:09,729,Wednesday,2,3,20
296,Panda Express,1,16:42,1002,Sunday,6,2,3
297,Roots,12,11:01,661,Saturday,5,2,20
298,Canyon Vista,14,18:05,1085,Wednesday,2,3,20
299,Santorini,7,18:07,1087,Wednesday,2,3,19
300,Blue Pepper,10,13:29,809,Sunday,6,3,24
301,Blue Pepper,10,16:55,1015,Tuesday,1,2,24
302,Lemongrass,6,19:22,1162,Wednesday,2,3,25
303,Taco Villa,4,9:43,583,Thursday,3,1,9
304,Panda Express,1,16:15,975,Wednesday,2,1,3
305,Curry Up Now,2,17:29,1049,Friday,4,4,9
306,Caroline's,5,11:12,672,Wednesday,2,1,24
307,Panda Express,1,12:14,734,Tuesday,1,4,5
308,Sixty-Four North,9,14:34,874,Friday,4,1,15
309,Bistro,13,11:49,709,Friday,4,2,31
310,Taco Villa,4,10:37,637,Saturday,5,1,6
311,Burger King,0,15:35,935,Saturday,5,0,5
312,Curry Up Now,2,11:40,700,Sunday,6,5,12
313,Lemongrass,6,10:40,640,Thursday,3,3,36
314,Sixty-Four North,9,13:06,786,Friday,4,4,19
315,Sixty-Four North,9,13:50,830,Tuesday,1,3,24
316,Sixty-Four North,9,13:06,786,Wednesday,2,4,25
317,Curry Up Now,2,17:35,1055,Tuesday,1,1,6
318,Panda Express,1,15:31,931,Monday,0,3,5
319,Seed + Sprout,8,11:01,661,Sunday,6,2,17
320,Curry Up Now,2,15:25,925,Monday,0,2,9
321,Panda Express,1,15:06,906,Tuesday,1,3,5
322,Canyon Vista,14,10:43,643,Sunday,6,3,21
323,Roots,12,20:04,1204,Saturday,5,1,19
324,Burger King,0,18:04,1084,Wednesday,2,2,8
325,Panda Express,1,12:22,742,Saturday,5,4,5
326,Curry Up Now,2,16:41,1001,Saturday,5,3,8
327,Canyon Vista,14,21:00,1260,Saturday,5,4,26
328,Burger King,0,10:08,608,Friday,4,0,6
329,Burger King,0,12:49,769,Sunday,6,6,15
330,Bistro,13,17:20,1040,Monday,0,3,29
331,Caroline's,5,9:18,558,Sunday,6,0,6
332,Panda Express,1,14:03,843,Monday,0,3,5
333,Taco Villa,4,12:10,730,Tuesday,1,5,20
334,Santorini,7,10:02,602,Tuesday,1,1,8
335,Bistro,13,17:41,1061,Sunday,6,3,18
336,Taco Villa,4,18:43,1123,Sunday,6,4,11
337,Seed + Sprout,8,16:32,992,Wednesday,2,1,18
338,Izakaya Underbelly,11,20:49,1249,Friday,4,2,20
339,Canyon Vista,14,10:10,610,Thursday,3,2,18
340,Croutons,3,11:55,715,Monday,0,4,23
341,Caroline's,5,10:34,634,Thursday,3,3,20
342,Sixty-Four North,9,14:44,884,Tuesday,1,2,15
343,Caroline's,5,8:13,493,Monday,0,0,12
344,Croutons,3,14:19,859,Wednesday,2,1,17
345,Izakaya Underbelly,11,19:07,1147,Tuesday,1,3,28
346,Blue Pepper,10,17:13,1033,Sunday,6,2,14
347,Bistro,13,13:13,793,Monday,0,4,33
348,Curry Up Now,2,10:51,651,Wednesday,2,2,8
349,Curry Up Now,2,13:32,812,Wednesday,2,2,6
350,Burger King,0,10:52,652,Thursday,3,0,5
351,Caroline's,5,14:35,875,Tuesday,1,2,24
352,Blue Pepper,10,11:58,718,Saturday,5,4,31
353,Roots,12,11:19,679,Wednesday,2,3,27
354,Seed + Sprout,8,17:38,1058,Friday,4,4,29
355,Canyon Vista,14,14:48,888,Tuesday,1,1,13
356,Canyon Vista,14,13:28,808,Wednesday,2,4,24
357,Santorini,7,12:53,773,Thursday,3,3,18
358,Santorini,7,7:39,459,Friday,4,3,23
359,Bistro,13,14:48,888,Sunday,6,1,20
360,Panda Express,1,13:55,835,Sunday,6,4,5
361,Panda Express,1,15:38,938,Saturday,5,2,4
362,Caroline's,5,14:58,898,Sunday,6,3,15
363,Bistro,13,15:03,903,Friday,4,1,26
364,Croutons,3,11:42,702,Thursday,3,3,25
365,Seed + Sprout,8,8:58,538,Tuesday,1,0,15
366,Taco Villa,4,8:47,527,Tuesday,1,0,5
367,Burger King,0,20:36,1236,Tuesday,1,0,5
368,Izakaya Underbelly,11,11:54,714,Monday,0,5,29
369,Croutons,3,13:31,811,Thursday,3,1,13
370,Taco Villa,4,8:37,517,Friday,4,1,8
371,Sixty-Four North,9,13:06,786,Saturday,5,4,14
372,Sixty-Four North,9,11:02,662,Sunday,6,2,13
373,Seed + Sprout,8,16:27,987,Friday,4,2,27
374,Seed + Sprout,8,13:13,793,Thursday,3,4,31
375,Taco Villa,4,14:58,898,Wednesday,2,2,9
376,Blue Pepper,10,15:49,949,Saturday,5,2,15
377,Panda Express,1,12:27,747,Saturday,5,4,6
378,Curry Up Now,2,18:12,1092,Friday,4,2,8
379,Croutons,3,13:42,822,Sunday,6,3,16
380,Bistro,13,16:14,974,Friday,4,3,27
381,Izakaya Underbelly,11,11:42,702,Saturday,5,4,20
382,Izakaya Underbelly,11,11:23,683,Sunday,6,3,16
383,Sixty-Four North,9,13:03,783,Tuesday,1,5,24
384,Bistro,13,15:55,955,Friday,4,1,25
385,Izakaya Underbelly,11,14:07,847,Monday,0,3,22
386,Sixty-Four North,9,11:30,690,Saturday,5,1,10
387,Seed + Sprout,8,13:59,839,Saturday,5,3,21
388,Sixty-Four North,9,12:04,724,Sunday,6,4,18
389,Panda Express,1,9:51,591,Saturday,5,1,3
390,Izakaya Underbelly,11,12:35,755,Monday,0,3,24
391,Blue Pepper,10,15:42,942,Thursday,3,2,17
392,Burger King,0,7:05,425,Sunday,6,3,10
393,Croutons,3,12:49,769,Monday,0,4,26
394,Sixty-Four North,9,13:43,823,Thursday,3,2,14
395,Panda Express,1,12:59,779,Tuesday,1,3,6
396,Curry Up Now,2,15:34,934,Friday,4,5,15
397,Roots,12,18:28,1108,Friday,4,2,26
398,Caroline's,5,12:42,762,Tuesday,1,4,29
399,Roots,12,14:00,840,Saturday,5,2,18
400,Lemongrass,6,13:54,834,Tuesday,1,3,25
401,Croutons,3,11:37,697,Tuesday,1,4,15
402,Roots,12,13:02,782,Thursday,3,4,26
403,Izakaya Underbelly,11,11:04,664,Friday,4,2,21
404,Seed + Sprout,8,14:47,887,Saturday,5,2,18
405,Canyon Vista,14,9:18,558,Thursday,3,2,16
406,Bistro,13,15:30,930,Wednesday,2,1,24
407,Santorini,7,11:08,668,Saturday,5,1,10
408,Seed + Sprout,8,18:25,1105,Sunday,6,1,16
409,Panda Express,1,13:37,817,Wednesday,2,3,5
410,Burger King,0,8:12,492,Thursday,3,1,7
411,Croutons,3,14:06,846,Saturday,5,2,13
412,Seed + Sprout,8,18:44,1124,Friday,4,1,15
413,Bistro,13,12:10,730,Monday,0,4,31
414,Caroline's,5,9:16,556,Sunday,6,3,13
415,Croutons,3,11:06,666,Wednesday,2,2,23
416,Bistro,13,13:10,790,Saturday,5,5,31
417,Canyon Vista,14,17:44,1064,Tuesday,1,2,19
418,Burger King,0,21:33,1293,Saturday,5,0,1
419,Burger King,0,14:41,881,Sunday,6,3,10
420,Blue Pepper,10,17:02,1022,Tuesday,1,4,28
421,Lemongrass,6,19:32,1172,Monday,0,0,20
422,Izakaya Underbelly,11,16:31,991,Monday,0,2,24
423,Seed + Sprout,8,15:58,958,Sunday,6,1,14
424,Burger King,0,23:42,1422,Monday,0,2,8
425,Sixty-Four North,9,11:06,666,Tuesday,1,1,15
426,Bistro,13,13:49,829,Monday,0,1,25
427,Croutons,3,14:27,867,Sunday,6,2,17
428,Lemongrass,6,9:12,552,Tuesday,1,3,27
429,Burger King,0,20:28,1228,Sunday,6,1,4
430,Izakaya Underbelly,11,20:51,1251,Thursday,3,3,23
431,Canyon Vista,14,15:56,956,Thursday,3,1,15
432,Caroline's,5,12:56,776,Friday,4,6,29
433,Burger King,0,16:32,992,Friday,4,3,11
434,Curry Up Now,2,20:25,1225,Tuesday,1,3,10
435,Blue Pepper,10,13:37,817,Wednesday,2,2,22
436,Blue Pepper,10,10:34,634,Sunday,6,2,24
437,Bistro,13,18:17,1097,Sunday,6,2,16
438,Seed + Sprout,8,18:50,1130,Sunday,6,4,24
439,Burger King,0,8:04,484,Tuesday,1,0,5
440,Panda Express,1,14:26,866,Saturday,5,1,4
441,Taco Villa,4,15:19,919,Wednesday,2,1,6
442,Seed + Sprout,8,10:12,612,Wednesday,2,2,19
443,Burger King,0,22:32,1352,Saturday,5,3,8
444,Santorini,7,16:39,999,Monday,0,1,14
445,Seed + Sprout,8,14:41,881,Saturday,5,1,16
446,Seed + Sprout,8,15:10,910,Tuesday,1,2,23
447,Santorini,7,11:25,685,Monday,0,1,12
448,Caroline's,5,14:03,843,Tuesday,1,1,23
449,Seed + Sprout,8,16:58,1018,Thursday,3,1,13
450,Curry Up Now,2,19:49,1189,Sunday,6,3,10
451,Lemongrass,6,11:08,668,Sunday,6,3,23
452,Caroline's,5,14:22,862,Thursday,3,1,27
453,Lemongrass,6,15:48,948,Tuesday,1,1,15
454,Panda Express,1,10:08,608,Tuesday,1,2,6
455,Croutons,3,12:31,751,Monday,0,4,26
456,Taco Villa,4,9:13,553,Saturday,5,1,9
457,Croutons,3,11:44,704,Thursday,3,3,19
458,Burger King,0,17:16,1036,Monday,0,0,5
459,Caroline's,5,11:57,717,Saturday,5,5,23
460,Seed + Sprout,8,15:55,955,Tuesday,1,1,15
461,Blue Pepper,10,16:29,989,Sunday,6,1,9
462,Burger King,0,8:18,498,Tuesday,1,1,6
463,Burger King,0,19:29,1169,Monday,0,2,6
464,Seed + Sprout,8,15:33,933,Wednesday,2,3,22
465,Taco Villa,4,14:34,874,Wednesday,2,4,15
466,Santorini,7,16:10,970,Sunday,6,1,13
467,Curry Up Now,2,17:46,1066,Saturday,5,3,10
468,Sixty-Four North,9,12:35,755,Friday,4,5,23
469,Blue Pepper,10,15:13,913,Sunday,6,0,5
470,Santorini,7,17:05,1025,Tuesday,1,3,20
471,Sixty-Four North,9,11:03,663,Saturday,5,2,16
472,Sixty-Four North,9,12:41,761,Wednesday,2,3,22
473,Santorini,7,16:52,1012,Sunday,6,1,11
474,Roots,12,16:50,1010,Thursday,3,1,21
475,Roots,12,10:57,657,Monday,0,2,26
476,Croutons,3,11:24,684,Friday,4,2,18
477,Curry Up Now,2,17:04,1024,Tuesday,1,0,4
478,Roots,12,18:20,1100,Monday,0,1,23
479,Santorini,7,15:43,943,Tuesday,1,0,15
480,Panda Express,1,11:52,712,Thursday,3,5,7
481,Sixty-Four North,9,12:51,771,Monday,0,2,23
482,Curry Up Now,2,18:54,1134,Sunday,6,2,7
483,Caroline's,5,8:14,494,Thursday,3,2,23
484,Canyon Vista,14,13:50,830,Thursday,3,1,4
485,Canyon Vista,14,7:14,434,Monday,0,3,24
486,Lemongrass,6,19:17,1157,Monday,0,2,29
487,Roots,12,19:24,1164,Wednesday,2,2,18
488,Taco Villa,4,16:25,985,Monday,0,2,9
489,Canyon Vista,14,18:16,1096,Saturday,5,2,17
490,Croutons,3,13:42,822,Thursday,3,1,15
491,Sixty-Four North,9,12:29,749,Monday,0,3,20
492,Seed + Sprout,8,9:10,550,Friday,4,1,14
493,Bistro,13,16:36,996,Friday,4,2,26
494,Blue Pepper,10,18:51,1131,Tuesday,1,3,23
495,Santorini,7,14:47,887,Thursday,3,2,16
